Id,IsDeleted,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,BillingAddress,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,ShippingAddress,Phone,Fax,AccountNumber,Website,PhotoUrl,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,IsPartner,IsCustomerPortal,Jigsaw,JigsawCompanyId,CleanStatus,AccountSource,DunsNumber,Tradestyle,NaicsCode,NaicsDesc,YearStarted,SicDesc,DandbCompanyId,OperatingHoursId,Primary_Contact__c,Username__c
0010U00000zqsK9QAI,,,Reema Karr,Customer,,174 Unnamed Road,Youngstown,FL,32466,USA,,,,"{""city"":""Youngstown"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""32466"",""state"":""FL"",""street"":""174 Unnamed Road""}",174 Unnamed Road,Youngstown,FL,32466,USA,,,,"{""city"":""Youngstown"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""32466"",""state"":""FL"",""street"":""174 Unnamed Road""}",(555) 937-5145,,,,/services/images/photo/0010U00000zqsK9QAI,,,,,,,,,,0050U000002fKJPQA2,2020-03-12T23:06:22.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:22.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:22.000+0000,,2020-03-12T23:06:22.000+0000,2020-03-12T23:06:22.000+0000,,,,,Pending,,,,,,,,,,,reemakarr
0010U00000zqsJfQAI,,,Verena Besemer,Customer,,307 Bentley Manor,Shavano Park,TX,78249,USA,,,,"{""city"":""Shavano Park"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""78249"",""state"":""TX"",""street"":""307 Bentley Manor""}",307 Bentley Manor,Shavano Park,TX,78249,USA,,,,"{""city"":""Shavano Park"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""78249"",""state"":""TX"",""street"":""307 Bentley Manor""}",(555) 157-9509,,,,/services/images/photo/0010U00000zqsJfQAI,,,,,,,,,,0050U000002fKJPQA2,2020-03-12T23:06:14.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:14.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:14.000+0000,,2020-03-12T23:06:14.000+0000,2020-03-12T23:06:14.000+0000,,,,,Pending,,,,,,,,,,,verena.besemer
0010U00000zqsJgQAI,,,Magdalena Berling,Customer,,300 Spectrum Center Drive,Irvine,CA,92618,USA,,,,"{""city"":""Irvine"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""92618"",""state"":""CA"",""street"":""300 Spectrum Center Drive""}",300 Spectrum Center Drive,Irvine,CA,92618,USA,,,,"{""city"":""Irvine"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""92618"",""state"":""CA"",""street"":""300 Spectrum Center Drive""}",(555) 143-6256,,,,/services/images/photo/0010U00000zqsJgQAI,,,,,,,,,,0050U000002fKJPQA2,2020-03-12T23:06:14.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:14.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:14.000+0000,,2020-03-12T23:06:14.000+0000,2020-03-12T23:06:14.000+0000,,,,,Pending,,,,,,,,,,,magdalena.berling
0010U00000zqsJhQAI,,,Luigi Marcano,Customer,,658 Gibraltar Ct,Milpitas,CA,95035,USA,,,,"{""city"":""Milpitas"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""95035"",""state"":""CA"",""street"":""658 Gibraltar Ct""}",658 Gibraltar Ct,Milpitas,CA,95035,USA,,,,"{""city"":""Milpitas"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""95035"",""state"":""CA"",""street"":""658 Gibraltar Ct""}",(555) 132-8222,,,,/services/images/photo/0010U00000zqsJhQAI,,,,,,,,,,0050U000002fKJPQA2,2020-03-12T23:06:14.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:14.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:14.000+0000,,2020-03-12T23:06:14.000+0000,2020-03-12T23:06:14.000+0000,,,,,Pending,,,,,,,,,,,luigi.marcano
0010U00000zqsJiQAI,,,Kourtney Mizzell,Customer,,950 East Paces Ferry Road NE,Atlanta,GA,30326,USA,,,,"{""city"":""Atlanta"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""30326"",""state"":""GA"",""street"":""950 East Paces Ferry Road NE""}",950 East Paces Ferry Road NE,Atlanta,GA,30326,USA,,,,"{""city"":""Atlanta"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""30326"",""state"":""GA"",""street"":""950 East Paces Ferry Road NE""}",(555) 495-2963,,,,/services/images/photo/0010U00000zqsJiQAI,,,,,,,,,,0050U000002fKJPQA2,2020-03-12T23:06:14.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:14.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:14.000+0000,,2020-03-12T23:06:14.000+0000,2020-03-12T23:06:14.000+0000,,,,,Pending,,,,,,,,,,,kourtney.mizzell
0010U00000zqsJjQAI,,,Nanette Decker,Customer,,1335 Madison St NE,Salem,OR,97301,USA,,,,"{""city"":""Salem"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""97301"",""state"":""OR"",""street"":""1335 Madison St NE""}",1335 Madison St NE,Salem,OR,97301,USA,,,,"{""city"":""Salem"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""97301"",""state"":""OR"",""street"":""1335 Madison St NE""}",(555) 756-6609,,,,/services/images/photo/0010U00000zqsJjQAI,,,,,,,,,,0050U000002fKJPQA2,2020-03-12T23:06:14.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:14.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:14.000+0000,,2020-03-12T23:06:14.000+0000,2020-03-12T23:06:14.000+0000,,,,,Pending,,,,,,,,,,,nanette.decker
0010U00000zqsJkQAI,,,Brigid Radick,Customer,,7926 Droege Road,Decatur,IN,46733,USA,,,,"{""city"":""Decatur"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""46733"",""state"":""IN"",""street"":""7926 Droege Road""}",7926 Droege Road,Decatur,IN,46733,USA,,,,"{""city"":""Decatur"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""46733"",""state"":""IN"",""street"":""7926 Droege Road""}",(555) 480-4114,,,,/services/images/photo/0010U00000zqsJkQAI,,,,,,,,,,0050U000002fKJPQA2,2020-03-12T23:06:14.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:14.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:14.000+0000,,2020-03-12T23:06:14.000+0000,2020-03-12T23:06:14.000+0000,,,,,Pending,,,,,,,,,,,brigid.radick
0010U00000zqsJlQAI,,,Bud Pankey,Customer,,2035 NE Cornelius Pass Road,Hillsboro,OR,97124,USA,,,,"{""city"":""Hillsboro"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""97124"",""state"":""OR"",""street"":""2035 NE Cornelius Pass Road""}",2035 NE Cornelius Pass Road,Hillsboro,OR,97124,USA,,,,"{""city"":""Hillsboro"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""97124"",""state"":""OR"",""street"":""2035 NE Cornelius Pass Road""}",(555) 709-9310,,,,/services/images/photo/0010U00000zqsJlQAI,,,,,,,,,,0050U000002fKJPQA2,2020-03-12T23:06:14.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:14.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:14.000+0000,,2020-03-12T23:06:14.000+0000,2020-03-12T23:06:14.000+0000,,,,,Pending,,,,,,,,,,,bud.pankey
0010U00000zqsJmQAI,,,Modesto Marchall,Customer,,23 Browns Lake Road,Helmville,MT,59843,USA,,,,"{""city"":""Helmville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""59843"",""state"":""MT"",""street"":""23 Browns Lake Road""}",23 Browns Lake Road,Helmville,MT,59843,USA,,,,"{""city"":""Helmville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""59843"",""state"":""MT"",""street"":""23 Browns Lake Road""}",(555) 419-2395,,,,/services/images/photo/0010U00000zqsJmQAI,,,,,,,,,,0050U000002fKJPQA2,2020-03-12T23:06:14.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:14.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:14.000+0000,,2020-03-12T23:06:14.000+0000,2020-03-12T23:06:14.000+0000,,,,,Pending,,,,,,,,,,,modesto.marchall
0010U00000zqsJnQAI,,,Edda Liszewski,Customer,,1541 E 4th St,Casper,WY,82601,USA,,,,"{""city"":""Casper"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""82601"",""state"":""WY"",""street"":""1541 E 4th St""}",1541 E 4th St,Casper,WY,82601,USA,,,,"{""city"":""Casper"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""82601"",""state"":""WY"",""street"":""1541 E 4th St""}",(555) 403-2933,,,,/services/images/photo/0010U00000zqsJnQAI,,,,,,,,,,0050U000002fKJPQA2,2020-03-12T23:06:14.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:14.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:14.000+0000,,2020-03-12T23:06:14.000+0000,2020-03-12T23:06:14.000+0000,,,,,Pending,,,,,,,,,,,edda.liszewski
